Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,country_code,latitude,longitude
Madagascar,Tsiroanomandidy,29,0,0,0,22,0,0,0,29,0,MG,-18.766947,46.869107
China,Tuku,174,3,4,0,174,3,10,0,154,3,CN,35.86166,104.195397
Russian Federation,Tulun,37,0,1,0,36,0,0,0,37,0,RF,61.524,105.3188
Russian Federation,Udachnyy,33,0,1,0,33,0,0,0,19,0,RF,61.524,105.3188
United States of America,West Hempstead,75,1,2,0,41,0,10,0,75,1,USA,37.0902,-95.7129
United States of America,Whitehall,45,0,1,0,31,0,7,0,45,0,USA,37.0902,-95.7129
Austria,Wiener Neustadt,35,0,1,0,28,0,1,0,35,0,AT,47.516231,14.550072
United States of America,Williston,46,0,1,0,28,0,1,0,46,0,USA,37.0902,-95.7129
Namibia,Windhoek,50,0,1,0,22,0,0,0,50,0,NMB,-22.95764,18.49041
United Kingdom of Great Britain and Northern Ireland,Witney,29,0,0,0,29,0,1,0,25,0,UKI,55.3781,-3.436
Germany,Wittstock,38,0,0,0,38,0,0,0,21,0,DE,51.165691,10.451526
United States of America,Wood Dale,82,1,2,0,7,0,30,0,82,1,USA,37.0902,-95.7129
China,Xihe,149,2,3,0,149,2,1,0,88,1,CN,35.86166,104.195397
Philippines,Vinzons,41,0,1,0,23,0,0,0,41,0,PH,12.879721,121.774017
Germany,Vlotho,37,0,1,0,37,0,1,0,24,0,DE,51.165691,10.451526
Russian Federation,Volchikha,37,0,1,0,37,0,0,0,26,0,RF,61.524,105.3188
South Africa,Warrenton,33,0,0,0,21,0,1,0,33,0,ZA,-30.559482,22.937506
United States of America,Wauwatosa,54,1,2,0,12,0,17,0,54,1,USA,37.0902,-95.7129
Ukraine,Kaniv,51,1,1,0,43,0,0,0,51,1,UA,48.379433,31.16558
Zambia,Kansanshi,53,1,1,0,21,0,0,0,53,1,ZM,-13.133897,27.849332
Japan,Karasuyama,43,0,1,0,43,0,1,0,36,0,JP,36.204824,138.252924
United States of America,Kearny,60,1,1,0,42,0,6,0,60,1,USA,37.0902,-95.7129
Chad,Kelo,65,1,2,0,12,0,0,0,65,1,TD,15.454166,18.732207
India,Pilani,500,5,1,0,39,0,0,0,433,5,IN,20.593684,78.96288
United States of America,Pinehurst,61,1,1,0,30,0,3,0,61,1,USA,37.0902,-95.7129
United States of America,Pittsburg,73,1,1,0,27,0,4,0,73,1,USA,37.0902,-95.7129
Spain,Paterna,35,0,0,0,35,0,0,0,18,0,ES,40.463667,-3.74922
Canada,Kingston,36,0,1,0,36,0,1,0,31,0,CA,56.130366,-106.346771
Zambia,Kitwe,56,1,1,0,22,0,0,0,56,1,ZM,-13.133897,27.849332
Russian Federation,Korenovsk,36,0,1,0,36,0,2,0,30,0,RF,61.524,105.3188
Italy,Rovereto,28,0,1,0,28,0,1,0,12,0,IT,41.87194,12.56738
Kenya,Ruiru,92,1,2,0,22,0,1,0,92,1,KE,-0.023559,37.906193
France,Rumilly,34,0,1,0,30,0,1,0,34,0,FR,46.227638,2.213749
France,Saint Denis,43,0,0,0,28,0,0,0,43,0,FR,46.227638,2.213749
France,Sainte Marie,43,0,0,0,28,0,0,0,43,0,FR,46.227638,2.213749
Turkey,Salihli,55,1,1,0,55,1,0,0,27,0,TR,38.963745,35.243322
Serbia,Presevo,53,1,1,0,39,0,1,0,53,1,RS,44.016521,21.005859
Iran (Islamic Republic of),Qom,214,4,4,0,214,4,7,0,175,3,IIM,32.4279,53.688
Poland,Rogozno,32,0,1,0,32,0,0,0,29,0,PL,51.919438,19.145136
Spain,Santa Brigida,37,0,0,0,37,0,0,0,16,0,ES,40.463667,-3.74922
Colombia,Santa Marta,75,1,1,0,13,0,0,0,75,1,CO,4.570868,-74.297333
Brazil,Santo Amaro,71,1,1,0,5,0,7,0,71,1,BR,-14.235004,-51.92528
Brazil,Santo Antonio,34,0,0,0,17,0,1,0,34,0,BR,-14.235004,-51.92528
United States of America,Sartell,36,0,1,0,36,0,5,0,31,0,USA,37.0902,-95.7129
Italy,Sasso Marconi,55,1,1,0,38,0,1,0,55,1,IT,41.87194,12.56738
Italy,Scandiano,60,1,1,0,38,0,1,0,60,1,IT,41.87194,12.56738
Russian Federation,Schlusselburg,39,0,1,0,39,0,1,0,18,0,RF,61.524,105.3188
France,Sens,35,0,1,0,26,0,2,0,35,0,FR,46.227638,2.213749
India,Pihani,157,3,3,0,119,2,1,0,157,3,IN,20.593684,78.96288
Philippines,Pio Duran,36,0,1,0,25,0,0,0,36,0,PH,12.879721,121.774017
Russian Federation,Platnirovskaya,38,0,1,0,38,0,0,0,13,0,RF,61.524,105.3188
South Africa,Plettenberg Bay,35,0,1,0,19,0,1,0,35,0,ZA,-30.559482,22.937506
Slovakia,Poprad,60,1,1,0,41,0,0,0,60,1,SK,48.669026,19.699024
United States of America,Port Lavaca,48,0,1,0,20,0,1,0,48,0,USA,37.0902,-95.7129
India,Patamundai,133,2,3,0,75,1,1,0,133,2,IN,20.593684,78.96288
United States of America,Pell City,108,2,4,0,4,0,19,0,108,2,USA,37.0902,-95.7129
United Kingdom of Great Britain and Northern Ireland,Peterlee,32,0,1,0,32,0,1,0,13,0,UKI,55.3781,-3.436
Germany,Petershagen,71,1,2,0,36,0,6,0,71,1,DE,51.165691,10.451526
Poland,Skarzysko Kamienna,32,0,1,0,28,0,1,0,32,0,PL,51.919438,19.145136
Poland,Slubice,58,1,1,0,36,0,1,0,58,1,PL,51.919438,19.145136
Indonesia,Soe,21,0,0,0,19,0,0,0,21,0,ID,-0.789275,113.921327
Germany,Schwabach,63,1,1,0,30,0,3,0,63,1,DE,51.165691,10.451526
India,Seohara,134,2,3,0,95,1,1,0,134,2,IN,20.593684,78.96288
Turkey,Sereflikochisar,66,1,1,0,35,0,1,0,66,1,TR,38.963745,35.243322
Uganda,Kisoro,180,3,2,0,22,0,1,0,180,3,UG,1.373333,32.290275
Japan,Kitaibaraki,55,1,1,0,21,0,8,0,55,1,JP,36.204824,138.252924
India,Kombai,73,1,1,0,14,0,4,0,73,1,IN,20.593684,78.96288
Russian Federation,Krasnyy Kut,44,0,1,0,44,0,0,0,15,0,RF,61.524,105.3188
Lithuania,Kretinga,34,0,1,0,34,0,0,0,24,0,LT,55.169438,23.881275
